33RD ST 	3900 - 3999 	UNIVERSITY AV - LINCOLN AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
33RD ST 	4000 - 4099 	LINCOLN AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
33RD ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
33RD ST 	4200 - 4249 	ORANGE AV - BRAMSON PL 	Posted (8am - 11am), ES Mon, WS Thu	
33RD ST 	4250 - 4299 	BRAMSON PL - EL CAJON BL 	Posted (8am - 11am), ES Mon, WS Thu	
34TH ST 	4000 - 4099 	LINCOLN AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
34TH ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
34TH ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
35TH ST 	200 - 271 	TOMPKINS ST - L ST 	Not Posted, Both Sides 2nd Fri	
35TH ST 	272 - 299 	L ST - K ST 	Not Posted, Both Sides 2nd Fri	
35TH ST 	300 - 399 	K ST - J ST 	Not Posted, Both Sides 2nd Fri	
35TH ST 	3600 - 3699 	BEGIN - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
35TH ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
35TH ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (8am - 11am), WS Mon, ES Thu	
35TH ST 	400 - 449 	J ST - END 	Not Posted, Both Sides 2nd Fri	
35TH ST 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
35TH ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
35TH ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (8am - 11am), WS Mon, ES Thu	
36TH ST 	100 - 199 	TOMPKINS ST - L ST 	Not Posted, Both Sides 2nd Fri	
36TH ST 	100 - 199 	DURANT ST - IMPERIAL AV 	Not Posted, Both Sides 2nd Fri	
36TH ST 	200 - 299 	L ST - K ST 	Not Posted, Both Sides 2nd Fri	
36TH ST 	200 - 299 	IMPERIAL AV - K ST 	Not Posted, Both Sides 2nd Fri	
36TH ST 	300 - 399 	K ST - J ST 	Not Posted, Both Sides 2nd Fri	
36TH ST 	3400 - 3599 	MYRTLE AV - DWIGHT ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	400 - 499 	J ST - ISLAND AV 	Not Posted, Both Sides 2nd Fri	
36TH ST 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
36TH ST 	500 - 599 	ISLAND AV - MARKET ST 	Not Posted, Both Sides 2nd Fri	
37TH ST 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
37TH ST 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
37TH ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
